library,path
libesp_hw_support.a,./esp-idf/esp_hw_support/libesp_hw_support.a
libesp_pm.a,./esp-idf/esp_pm/libesp_pm.a
libesp_phy.a,./esp-idf/esp_phy/libesp_phy.a
libesp_system.a,./esp-idf/esp_system/libesp_system.a
libesp_timer.a,./esp-idf/esp_timer/libesp_timer.a
libesp_wifi.a,./esp-idf/esp_wifi/libesp_wifi.a
libfreertos.a,./esp-idf/freertos/libfreertos.a
libhal.a,./esp-idf/hal/libhal.a
libnet80211.a,$IDF_PATH/components/esp_wifi/lib/esp32c2/libnet80211.a
libnewlib.a,./esp-idf/newlib/libnewlib.a
libpp.a,$IDF_PATH/components/esp_wifi/lib/esp32c2/libpp.a
libriscv.a,./esp-idf/riscv/libriscv.a
libspi_flash.a,./esp-idf/spi_flash/libspi_flash.a
